name,owner,description,url,createdAt,users,watchers,stars,forks,projects,issues,pullRequests,diskUsage,license,languages,primaryLanguage,environments,submodules,topics,extra
modern-todomvc-vanillajs,1Marc,"TodoMVC with Modern (ES6+), Vanilla JavaScript",https://github.com/1Marc/modern-todomvc-vanillajs,2022-04-30,1,11,1050,110,0,6,23,151,,"HTML,JavaScript,CSS",CSS,github-pages,,"javascript,js,todomvc,vanilla-javascript,vanilla-js,vanillajs",
cloud-JavaScript,895450603,AutoJavaScript,https://github.com/895450603/cloud-JavaScript,2022-04-30,1,0,0,18,0,0,0,46,Unlicense,,,,,,
XaviaBot,XaviaTeam,A Facebook Messenger Bot,https://github.com/XaviaTeam/XaviaBot,2022-04-30,2,5,55,90,0,6,5,8619,MIT,"JavaScript,Nix,HTML",JavaScript,,,"bot,chatbot,javascript,messenger,nodejs,facebook",
Developer-Portfolio,hello2himel,"This portfolio is made using HTML, CSS (Bootstrap) and JavaScript.",https://github.com/hello2himel/Developer-Portfolio,2022-04-30,1,1,12,7,0,0,0,1538,,"HTML,CSS",HTML,github-pages,,"bootstrap-portfolio,bootstrap-portfolio-template,html-portfolio,minimal-portfolio,portfolio,portfolio-website,github-landing-page,mini-portfolio,simple-portfolio,simple-portfolio-for-developer",
range-slider-input,n3r4zzurr0,A lightweight (~2kB) library to create range sliders that can capture a value or a range of values with one or two drag handles,https://github.com/n3r4zzurr0/range-slider-input,2022-04-30,1,3,77,9,0,9,2,370,MIT,"JavaScript,CSS",JavaScript,,,"range-slider,input,javascript,range,slider",
responsive-real-estate,urmybestfriend,Responsive Real State Website Design Using HTML CSS & JavaScript,https://github.com/urmybestfriend/responsive-real-estate,2022-04-30,1,1,5,3,0,0,0,1209,,"CSS,JavaScript,HTML",CSS,,,,
-javascript-datastructures-algorithms,AbhishekChauhan9036,,https://github.com/AbhishekChauhan9036/-javascript-datastructures-algorithms,2022-04-30,1,1,7,0,0,0,0,702,,"JavaScript,TypeScript",TypeScript,,,,
flowcharts,chyrkovmaksym,JavaScript web service for creating flowcharts of C code,https://github.com/chyrkovmaksym/flowcharts,2022-04-30,5,1,12,2,0,3,4,157,MIT,"HTML,JavaScript,CSS",JavaScript,github-pages,,,
beginners-intro-javascript-nod,AbhishekChauhan9036,,https://github.com/AbhishekChauhan9036/beginners-intro-javascript-nod,2022-04-30,1,1,8,0,0,0,0,21,,JavaScript,JavaScript,,,,
Weather-App,m-sehrawat,This project is about building a web application to show a weather forecast using weather API.,https://github.com/m-sehrawat/Weather-App,2022-04-30,1,1,23,17,0,0,0,729,,"HTML,JavaScript,CSS",JavaScript,Production,,"chakra-ui,css,javascript,react,react-redux,redux,vitejs",
